,Min,nb_ecole_1kms,nb_ecole_3kms,nb_ecole_5kms,nb_ecole_10kms,nb_ecole_20kms
14815,0.5529068149370334,1,1,6,20,138
14816,0.9835132768618594,1,2,6,21,96
14817,1.349288883491893,0,5,13,37,141
14818,0.2191610818434125,21,95,115,180,428
14819,0.907106022824202,3,4,6,43,181
14820,0.8321045044662779,3,10,12,23,75
14821,1.112808146521483,0,7,10,13,69
14822,0.3360669946513689,6,12,14,25,64
14823,0.2590957116294913,1,4,12,58,173
14824,0.4420245107494538,12,122,265,506,707
14825,0.6268158649904743,14,44,48,70,148
14826,0.8366659225922634,3,4,4,20,160
14827,0.1462937818177798,24,111,157,196,286
14828,0.2007382613523296,21,53,61,84,167
14829,0.2130929774622915,17,118,240,341,560
14830,0.0578240044009061,21,231,544,2149,5402
14831,0.2852192280800308,15,85,113,181,559
14832,0.2807310763849259,4,83,259,1058,4150
14833,0.686050529805525,6,30,43,93,304
14834,5.154845091824868,0,0,0,5,49
14835,0.1664743140943615,51,400,926,2703,5768
14836,1.3603998023897124,0,8,16,63,338
14837,0.2136069371680063,43,454,1187,2888,5749
14838,0.1666006219957624,3,19,19,35,112
14839,0.4076961447193161,11,79,240,962,4338
14840,1.043502245101036,0,3,9,32,116
14841,0.5488126262539765,1,3,5,13,56
14842,0.9097628702857042,2,15,52,129,243
14843,0.1513186347562165,19,123,153,182,272
14844,1.073556526272058,0,4,7,8,55
14845,0.0748142027404611,3,8,14,18,235
14846,0.9398491241400776,1,4,5,15,78
14847,0.1845716597869683,7,64,166,317,441
14848,0.193057795366403,17,117,236,346,561
14849,0.1391954017762831,65,375,1007,2868,5669
14850,0.7277543513032827,2,2,3,9,27
14851,0.1439977153429311,26,161,289,487,755
14852,0.8890634645285385,1,1,5,17,128
14853,0.2164609631482138,42,245,774,2521,5564
14854,0.4545078272687702,5,35,49,60,107
14855,0.8616793102403694,2,10,33,212,1074
14856,0.2551940915086184,94,489,1050,2840,5683
