,latitude,longitude,Geo Point
3047,48.8231516331,2.32550957782,"48.8231516331,2.32550957782"
3048,48.8972452881,2.35950786882,"48.8972452881,2.35950786882"
3049,48.8299902817,2.37574814434,"48.8299902817,2.37574814434"
3050,48.8321105601,2.23863934858,"48.8321105601,2.23863934858"
3051,48.8270854489,2.27941168205,"48.8270854489,2.27941168205"
3052,48.8828919175,2.30905226455,"48.8828919175,2.30905226455"
3053,48.8241050307,2.27304152514,"48.8241050307,2.27304152514"
3054,48.8091443609,2.43450989593,"48.8091443609,2.43450989593"
3055,48.8825193856,2.33708168251,"48.8825193856,2.33708168251"
3056,48.8585538264,2.34223275937,"48.8585538264,2.34223275937"
3057,48.8479715406,2.25774468038,"48.8479715406,2.25774468038"
3058,48.8973898907,2.38550838768,"48.8973898907,2.38550838768"
3059,48.8779727014,2.29831037512,"48.8779727014,2.29831037512"
3060,48.888267617,2.37420401204,"48.888267617,2.37420401204"
3061,48.8555509402,2.32571242217,"48.8555509402,2.32571242217"
3062,48.8264260109,2.35724565076,"48.8264260109,2.35724565076"
3063,48.8361229793,2.27811917696,"48.8361229793,2.27811917696"
3064,48.8190515147,2.36012974202,"48.8190515147,2.36012974202"
3065,48.8218295581,2.37005360353,"48.8218295581,2.37005360353"
3066,48.846948151,2.4095514298,"48.846948151,2.4095514298"
3067,48.8411869211,2.32050922753,"48.8411869211,2.32050922753"
3068,48.8760012915,2.22595909514,"48.8760012915,2.22595909514"
3069,48.9335864037,2.37108317162,"48.9335864037,2.37108317162"
3070,48.8191743291,2.23859833779,"48.8191743291,2.23859833779"
3071,48.8574714089,2.22060356003,"48.8574714089,2.22060356003"
3072,48.8431243999,2.22185149475,"48.8431243999,2.22185149475"
3073,48.930934183,2.51504966242,"48.930934183,2.51504966242"
3074,48.9499377357,2.32883217135,"48.9499377357,2.32883217135"
3075,48.9318139969,2.28865600596,"48.9318139969,2.28865600596"
3076,48.932790208,2.30129129249,"48.932790208,2.30129129249"
3077,48.9140476807,2.22957161329,"48.9140476807,2.22957161329"
3078,48.9175149076,2.22481218888,"48.9175149076,2.22481218888"
3079,48.8587040102,2.40968568697,"48.8587040102,2.40968568697"
3080,48.8303885897,2.39344969832,"48.8303885897,2.39344969832"
3081,48.973659013,2.36605171568,"48.973659013,2.36605171568"
3082,48.9708834042,2.36600388911,"48.9708834042,2.36600388911"
3083,48.9658555744,2.36357222397,"48.9658555744,2.36357222397"
3084,48.9482081285,2.35746152626,"48.9482081285,2.35746152626"
3085,48.9421254551,2.35672974153,"48.9421254551,2.35672974153"
3086,48.7720742166,2.36781500163,"48.7720742166,2.36781500163"
3087,48.7595735353,2.36639800004,"48.7595735353,2.36639800004"
3088,48.7501740371,2.35436727915,"48.7501740371,2.35436727915"
3089,48.7465685866,2.35287534134,"48.7465685866,2.35287534134"
3090,48.7851214133,2.17879859027,"48.7851214133,2.17879859027"
3091,48.7903330019,2.26338916602,"48.7903330019,2.26338916602"
3092,48.7814043209,2.20912922729,"48.7814043209,2.20912922729"
3093,48.9396887087,2.34520750593,"48.9396887087,2.34520750593"
3094,48.8983255584,2.35182955013,"48.8983255584,2.35182955013"
3095,48.8962264947,2.31880232726,"48.8962264947,2.31880232726"
3096,48.9009555375,2.5708415546,"48.9009555375,2.5708415546"
3097,48.8032064569,2.37790029205,"48.8032064569,2.37790029205"
3098,48.7856721351,2.3919914555,"48.7856721351,2.3919914555"
3099,48.7592000295,2.40887560616,"48.7592000295,2.40887560616"
3100,48.7449956383,2.40831829477,"48.7449956383,2.40831829477"
3101,48.9177837253,2.41769109334,"48.9177837253,2.41769109334"
3102,48.9363891471,2.3636407022,"48.9363891471,2.3636407022"
3103,48.8316965931,2.28147044408,"48.8316965931,2.28147044408"
3104,48.7567394335,2.36836469863,"48.7567394335,2.36836469863"
3105,48.9600337639,2.34341454388,"48.9600337639,2.34341454388"
3106,48.8155689555,2.3683396347,"48.8155689555,2.3683396347"
3107,48.9771607155,2.39067488093,"48.9771607155,2.39067488093"
3108,48.9706650483,2.07773176593,"48.9706650483,2.07773176593"
3109,48.5860078899,2.24107008227,"48.5860078899,2.24107008227"
3110,48.8721574949,2.32992717061,"48.8721574949,2.32992717061"
3111,48.9321960051,2.49551314123,"48.9321960051,2.49551314123"
3112,48.8536480563,2.27948706498,"48.8536480563,2.27948706498"
3113,48.5661178207,2.49271300424,"48.5661178207,2.49271300424"
3114,48.9327062187,2.45476638277,"48.9327062187,2.45476638277"
3115,48.9727491198,2.30713703071,"48.9727491198,2.30713703071"
3116,48.9582696037,2.32824501027,"48.9582696037,2.32824501027"
3117,48.8449011387,2.52592254657,"48.8449011387,2.52592254657"
3118,49.0693141355,2.14169693141,"49.0693141355,2.14169693141"
3119,49.1626705808,1.93692863442,"49.1626705808,1.93692863442"
3120,48.8618222746,2.34701268722,"48.8618222746,2.34701268722"
3121,48.874144083,2.58333116078,"48.874144083,2.58333116078"
3122,48.8771578388,2.55288164979,"48.8771578388,2.55288164979"
3123,48.7637868096,2.41138672494,"48.7637868096,2.41138672494"
3124,48.667901961,2.54754804581,"48.667901961,2.54754804581"
3125,48.9829797632,1.80890782598,"48.9829797632,1.80890782598"
3126,48.9767478483,2.39059365128,"48.9767478483,2.39059365128"
3127,48.8152299365,2.34089113242,"48.8152299365,2.34089113242"
3128,48.9960988426,2.25965561906,"48.9960988426,2.25965561906"
3129,48.8107753218,2.9537303831,"48.8107753218,2.9537303831"
3130,48.3745250134,2.05991234764,"48.3745250134,2.05991234764"
