,Min,nb_gare_1kms,nb_gare_3kms,nb_gare_5kms,nb_gare_10kms,nb_gare_20kms
25678,12.63760239431573,0,0,0,0,2
25679,1.1446225558600922,0,1,3,8,15
25680,9.515865687224496,0,0,0,2,16
25681,1.098902480000535,0,1,2,4,8
25682,14.166686995890124,0,0,0,0,11
25683,3.4553287379471795,0,0,2,9,22
25684,1.7737266167579182,0,6,10,28,106
25685,0.1209853092685882,11,127,297,669,1003
25686,1.1372545062346135,0,1,2,3,17
25687,0.1816074157024761,1,1,2,3,4
25688,13.251975440305989,0,0,0,0,11
25689,12.72269969411247,0,0,0,0,4
25690,0.9523459706453052,1,6,13,27,55
25691,2.9183399624581923,0,1,1,1,3
25692,2.061580788489148,0,1,2,7,13
25693,0.2005775553752985,1,1,1,4,14
25694,0.1841930034482602,15,131,295,669,1002
25695,0.2579531971399633,11,66,202,590,970
25696,18.617840563405256,0,0,0,0,1
25697,8.078542549526539,0,0,0,1,4
25698,0.9702726410926868,1,1,3,5,13
25699,0.1113225663366983,24,158,319,673,1011
25700,1.3027754374685314,0,1,2,4,8
25701,1.1831610126882846,0,1,1,3,8
25702,4.550221778377048,0,0,2,13,24
25703,0.6601839715811008,1,1,2,4,9
25704,1.4635234839102926,0,1,3,5,9
25705,4.687148475338379,0,0,1,1,4
25706,1.4275124926004512,0,3,7,22,36
25707,0.9667275178220016,1,1,1,3,5
25708,0.1073523123004499,1,3,4,11,20
25709,0.7922889667064551,1,1,2,4,9
25710,0.908737742670906,2,21,54,251,883
25711,11.615661619283706,0,0,0,0,4
25712,11.055413070864295,0,0,0,0,6
25713,30.013367934378486,0,0,0,0,0
25714,1.2428013846042305,0,2,2,12,51
25715,4.196997349521759,0,0,4,9,68
25716,7.50771491976377,0,0,0,1,4
25717,1.0338118465621655,0,1,4,13,26
25718,4.566098003010671,0,0,1,2,5
25719,7.636883648415498,0,0,0,1,2
25720,0.7390540597069171,2,2,16,53,393
25721,5.316565467778148,0,0,0,4,8
25722,0.9286374829979408,1,1,3,14,26
25723,9.535962272981203,0,0,0,1,3
25724,21.76150591208909,0,0,0,0,0
25725,3.259347442315084,0,0,2,4,11
25726,1.3759807168827043,0,1,1,2,4
25727,231.29939061232076,0,0,0,0,0
25728,1.9544319412843183,0,2,4,16,52
25729,3.2527683935709515,0,0,2,4,7
25730,0.8919989244487777,1,1,3,5,13
25731,2.848601497233462,0,1,2,9,25
25732,13.629816377347762,0,0,0,0,6
25733,17.09774018735056,0,0,0,0,3
25734,7.982338476686606,0,0,0,3,6
25735,1.9172720736320303,0,1,1,1,4
25736,11.428282724637551,0,0,0,0,21
25737,1.132917802626987,0,1,1,1,2
25738,1.0614010538938434,0,1,1,2,8
25739,1.3813028749097935,0,1,1,2,5
25740,1.669735566716315,0,1,1,2,8
25741,2.527640959952627,0,1,1,1,4
25742,2.4259371560336263,0,1,4,9,24
25743,1.2352094373849214,0,4,16,75,549
25744,11.079735148348387,0,0,0,0,3
25745,18.45599217788893,0,0,0,0,1
25746,1.3511673510724898,0,3,4,5,10
25747,9.270725569794392,0,0,0,1,9
25748,1.2002637535175622,0,1,1,3,5
25749,1.6573523826629306,0,2,2,6,18
25750,1.8155105393677249,0,1,1,2,10
25751,0.5000216564328835,4,51,141,549,978
25752,7.421591817161794,0,0,0,1,3
25753,0.7193057868281693,1,2,3,8,23
25754,18.585479703273723,0,0,0,0,1
25755,1.3709920596127836,0,6,6,20,48
25756,11.023388716609231,0,0,0,0,6
25757,1.196057453431633,0,2,2,14,51
25758,2.741651385426392,0,2,6,25,55
25759,0.3065247292270703,2,9,48,399,930
25760,4.639662114024193,0,0,1,5,14
25761,0.2373118274658642,1,1,1,1,3
25762,0.0834996767285362,4,23,78,397,958
25763,8.121968904437566,0,0,0,4,12
25764,1.268260111936304,0,2,3,9,31
25765,11.610659889719765,0,0,0,0,3
25766,8.299985358485062,0,0,0,1,6
25767,0.4149450118198636,18,113,279,606,996
25768,0.1193726031609342,26,184,363,654,999
25769,1.1123641241027546,0,3,9,17,29
25770,1.1888942055728469,0,3,3,17,76
25771,1.8052560441196936,0,1,2,4,8
25772,11.88495347101331,0,0,0,0,8
25773,8.617042993837678,0,0,0,1,3
25774,9.498960403258208,0,0,0,1,1
25775,11.299526296825,0,0,0,0,1
25776,13.624108765175556,0,0,0,0,4
25777,1.7522534085994728,0,1,2,6,13
25778,26.84042687667427,0,0,0,0,0
